agency,dac_category,country,amt
ADF,Agriculture,Benin,1099784.0
ADF,Agriculture,Botswana,166681.0
ADF,Agriculture,Burkina Faso,886388.0
ADF,Agriculture,Burundi,623338.0
ADF,Agriculture,Cabo Verde,415521.0
ADF,Agriculture,Cameroon,26078.0
ADF,Agriculture,Chad,50899.0
ADF,Agriculture,Congo (Kinshasa),243948.0
ADF,Agriculture,Eswatini,52330.0
ADF,Agriculture,Ethiopia,16095.0
ADF,Agriculture,Gabon,8997.0
ADF,Agriculture,Ghana,550710.0
ADF,Agriculture,Guinea,828711.0
ADF,Agriculture,Kenya,900253.0
ADF,Agriculture,Liberia,734208.0
ADF,Agriculture,Malawi,532346.0
ADF,Agriculture,Mali,1611181.0
ADF,Agriculture,Mauritania,469084.0
ADF,Agriculture,Namibia,5608.0
ADF,Agriculture,Niger,802093.0
ADF,Agriculture,Nigeria,902698.0
ADF,Agriculture,Rwanda,583981.0
ADF,Agriculture,Senegal,713047.0
ADF,Agriculture,Sierra Leone,8649.0
ADF,Agriculture,South Sudan,111613.0
ADF,Agriculture,Tanzania,1073522.0
ADF,Agriculture,Uganda,2099461.0
ADF,Agriculture,Zambia,1889129.0
ADF,Agriculture,Zimbabwe,1061598.0
ADF,Commodity Assistance,Cabo Verde,43438.0
ADF,Economic Growth,Benin,831287.0
ADF,Economic Growth,Botswana,912101.0
ADF,Economic Growth,Burkina Faso,398228.0
ADF,Economic Growth,Burundi,447703.0
ADF,Economic Growth,Cabo Verde,748800.0
ADF,Economic Growth,Cameroon,7845.0
ADF,Economic Growth,Eswatini,153304.0
ADF,Economic Growth,Ethiopia,51576.0
ADF,Economic Growth,Ghana,1131690.0
ADF,Economic Growth,Guinea,82824.0
ADF,Economic Growth,Kenya,671886.0
ADF,Economic Growth,Liberia,483233.0
ADF,Economic Growth,Malawi,594584.0
ADF,Economic Growth,Mali,1045318.0
ADF,Economic Growth,Mauritania,181776.0
ADF,Economic Growth,Namibia,8183.0
ADF,Economic Growth,Niger,186131.0
ADF,Economic Growth,Nigeria,823794.0
ADF,Economic Growth,Rwanda,224840.0
ADF,Economic Growth,Senegal,379938.0
ADF,Economic Growth,Sierra Leone,8084.0
ADF,Economic Growth,South Africa,4072.0
ADF,Economic Growth,Tanzania,619074.0
ADF,Economic Growth,Uganda,999731.0
ADF,Economic Growth,Zambia,829903.0
ADF,Economic Growth,Zimbabwe,44562.0
ADF,Education,Congo (Kinshasa),10194.0
ADF,Education,Ghana,26541.0
ADF,Education,Kenya,10423.0
ADF,Education,Liberia,34503.0
ADF,Education,Mali,26695.0
ADF,Education,Mauritania,216751.0
ADF,Education,Nigeria,37732.0
ADF,Education,Somalia,677350.0
ADF,Education,Zimbabwe,603388.0
ADF,Governance,Burundi,8303.0
ADF,Governance,Ethiopia,18125.0
ADF,Governance,Kenya,27086.0
ADF,Governance,Nigeria,1279240.0
ADF,Governance,Somalia,147173.0
ADF,Governance,Tanzania,159505.0
ADF,Governance,Uganda,8773.0
ADF,Governance,Zimbabwe,375282.0
ADF,Health and Population,Benin,16100.0
ADF,Health and Population,Djibouti,9910.0
ADF,Health and Population,Mali,3558.0
ADF,Health and Population,Mauritania,101093.0
ADF,Health and Population,Niger,33312.0
ADF,Health and Population,Nigeria,89707.0
ADF,Health and Population,Uganda,26078.0
ADF,Health and Population,Zimbabwe,191184.0
ADF,Infrastructure,Cabo Verde,367090.0
ADF,Infrastructure,Ethiopia,365950.0
ADF,Infrastructure,Ghana,334352.0
ADF,Infrastructure,Kenya,30177.0
ADF,Infrastructure,Madagascar,9806.0
ADF,Infrastructure,Nigeria,56067.0
ADF,Infrastructure,Rwanda,52113.0
ADF,Infrastructure,Tanzania,340121.0
ADF,Infrastructure,Uganda,213948.0
ADF,Infrastructure,Zambia,37299.0
ADF,Other,Benin,122938.0
ADF,Other,Botswana,954742.0
ADF,Other,Burkina Faso,79068.0
ADF,Other,Cabo Verde,16549.0
ADF,Other,Cameroon,1575504.0
ADF,Other,Congo (Kinshasa),20388.0
ADF,Other,Eswatini,186200.0
ADF,Other,Ethiopia,7432.0
ADF,Other,Ghana,418074.0
ADF,Other,Guinea,3348738.0
ADF,Other,Kenya,407127.0
ADF,Other,Liberia,53451.0
ADF,Other,Malawi,771206.0
ADF,Other,Mali,659340.0
ADF,Other,Mauritania,65133.0
ADF,Other,Mozambique,26776.0
ADF,Other,Niger,1443873.0
ADF,Other,Nigeria,588417.0
ADF,Other,Rwanda,340066.0
ADF,Other,Somalia,102030.0
ADF,Other,Tanzania,1271425.0
ADF,Other,Togo,26541.0
ADF,Other,Uganda,1894855.0
ADF,Other,Zambia,262051.0
ADF,Other,Zimbabwe,683533.0
AF,Governance,Cameroon,121395.0
AF,Governance,Chile,1339617.0
AF,Governance,Colombia,15848747.0
AF,Governance,Egypt,938985.0
AF,Governance,Gambia,20069.0
AF,Governance,Georgia,226886.0
AF,Governance,Germany,20388.0
AF,Governance,Greece,4253769.0
AF,Governance,Hungary,561476.0
AF,Governance,Iraq,13482497.0
AF,Governance,Israel,193857552.0
AF,Governance,Jordan,61676.0
AF,Governance,Kazakhstan,20161.0
AF,Governance,Malaysia,166678.0
AF,Governance,Mexico,20069.0
AF,Governance,Moldova,40917.0
AF,Governance,Mongolia,20459.0
AF,Governance,Nicaragua,7300.0
AF,Governance,Pakistan,15796475.0
AF,Governance,Panama,20161.0
AF,Governance,Paraguay,20069.0
AF,Governance,Peru,280057.0
AF,Governance,Philippines,61042.0
AF,Governance,Poland,220940.0
AF,Governance,Portugal,11309381.0
AF,Governance,Romania,61676.0
AF,Governance,Rwanda,250017.0
AF,Governance,Sri Lanka,121584.0
AF,Governance,Thailand,161668.0
AF,Governance,Turkey,83804.0
AGR,Agriculture,Afghanistan,26753.0
AGR,Agriculture,Algeria,148282.0
AGR,Agriculture,Argentina,19091.0
AGR,Agriculture,Australia,3936.0
AGR,Agriculture,Bangladesh,6700.0
AGR,Agriculture,Benin,44294.0
AGR,Agriculture,Bhutan,39639.0
AGR,Agriculture,Bolivia,43757.0
AGR,Agriculture,Brazil,870703.0
AGR,Agriculture,Bulgaria,43276.0
AGR,Agriculture,Burkina Faso,49089.0
AGR,Agriculture,Cameroon,98288.0
AGR,Agriculture,Cayman Islands,22086.0
AGR,Agriculture,Chile,681.0
AGR,Agriculture,China (P.R.C.),108195.0
AGR,Agriculture,Costa Rica,87872.0
AGR,Agriculture,Curacao,46788.0
AGR,Agriculture,Dominican Republic,29324.0
AGR,Agriculture,Ecuador,70127.0
AGR,Agriculture,Egypt,131645.0
AGR,Agriculture,France,16113.0
AGR,Agriculture,Gambia,43397.0
AGR,Agriculture,Georgia,4675.0
AGR,Agriculture,Ghana,126862.0
AGR,Agriculture,Guatemala,29022.0
AGR,Agriculture,Haiti,108160.0
AGR,Agriculture,Honduras,4356.0
AGR,Agriculture,Indonesia,31833.0
AGR,Agriculture,Jordan,762.0
AGR,Agriculture,Laos,20116.0
AGR,Agriculture,Madagascar,9640.0
AGR,Agriculture,Malawi,27072.0
AGR,Agriculture,Malaysia,805.0
AGR,Agriculture,Mauritius,5308.0
AGR,Agriculture,Mexico,508692.0
AGR,Agriculture,Moldova,136747.0
AGR,Agriculture,Mongolia,111520.0
AGR,Agriculture,Montenegro,516108.0
AGR,Agriculture,Morocco,16363.0
AGR,Agriculture,New Zealand,21233.0
AGR,Agriculture,Nigeria,323615.0
AGR,Agriculture,Pakistan,9395223.0
AGR,Agriculture,Peru,80199.0
AGR,Agriculture,Philippines,99916.0
AGR,Agriculture,Russia,300954.0
AGR,Agriculture,Serbia,4836.0
AGR,Agriculture,Slovenia,30000.0
AGR,Agriculture,South Africa,50769.0
AGR,Agriculture,St. Lucia,13495.0
AGR,Agriculture,Sudan,8979182.0
AGR,Agriculture,Taiwan,26911.0
AGR,Agriculture,Thailand,63113.0
AGR,Agriculture,Timor-Leste,49819.0
AGR,Agriculture,Togo,34928.0
AGR,Agriculture,Trinidad and Tobago,72158.0
AGR,Agriculture,Tunisia,50000.0
AGR,Agriculture,Uganda,25910.0
AGR,Agriculture,Ukraine,30346.0
AGR,Agriculture,Uzbekistan,6411.0
AGR,Agriculture,Vietnam,302865.0
AGR,Agriculture,Zambia,874.0
AGR,Commodity Assistance,Afghanistan,7575415.0
AGR,Commodity Assistance,Albania,794652.0
AGR,Commodity Assistance,Angola,6584658.0
AGR,Commodity Assistance,Armenia,23664398.0
AGR,Commodity Assistance,Azerbaijan,5571454.0
AGR,Commodity Assistance,Bangladesh,29127233.0
AGR,Commodity Assistance,Belarus,43072.0
AGR,Commodity Assistance,Bhutan,155928.0
AGR,Commodity Assistance,Bolivia,12153622.0
AGR,Commodity Assistance,Bosnia and Herzegovina,29656515.0
AGR,Commodity Assistance,Burundi,721957.0
AGR,Commodity Assistance,Cambodia,1657405.0
AGR,Commodity Assistance,Cameroon,2804462.0
AGR,Commodity Assistance,Central African Republic,1240504.0
AGR,Commodity Assistance,Congo (Brazzaville),723290.0
AGR,Commodity Assistance,Congo (Kinshasa),532821.0
AGR,Commodity Assistance,Cote d'Ivoire,6940308.0
AGR,Commodity Assistance,Djibouti,1249154.0
AGR,Commodity Assistance,Dominican Republic,49438587.0
AGR,Commodity Assistance,El Salvador,8616640.0
AGR,Commodity Assistance,Equatorial Guinea,468540.0
AGR,Commodity Assistance,Eritrea,20469636.0
AGR,Commodity Assistance,Ethiopia,1102677.0
AGR,Commodity Assistance,Georgia,28025609.0
AGR,Commodity Assistance,Guatemala,15252057.0
AGR,Commodity Assistance,Guyana,1318622.0
AGR,Commodity Assistance,Haiti,163865.0
AGR,Commodity Assistance,Honduras,18262030.0
AGR,Commodity Assistance,Indonesia,58582417.0
AGR,Commodity Assistance,Jamaica,10919224.0
AGR,Commodity Assistance,Jordan,33277435.0
AGR,Commodity Assistance,Kazakhstan,12246695.0
AGR,Commodity Assistance,Kenya,3257441.0
AGR,Commodity Assistance,Kyrgyzstan,14011814.0
AGR,Commodity Assistance,Laos,270528.0
AGR,Commodity Assistance,Lebanon,6757624.0
AGR,Commodity Assistance,Liberia,8305775.0
AGR,Commodity Assistance,Madagascar,2166322.0
AGR,Commodity Assistance,Malawi,18360665.0
AGR,Commodity Assistance,Mali,2281605.0
AGR,Commodity Assistance,Mauritania,2330384.0
AGR,Commodity Assistance,Moldova,3428307.0
AGR,Commodity Assistance,Mongolia,7198861.0
AGR,Commodity Assistance,Montenegro,6054025.0
AGR,Commodity Assistance,Morocco,14417949.0
AGR,Commodity Assistance,Mozambique,10097507.0
AGR,Commodity Assistance,Nepal,634214.0
AGR,Commodity Assistance,Nicaragua,5628802.0
AGR,Commodity Assistance,Niger,3697089.0
AGR,Commodity Assistance,Nigeria,9586564.0
AGR,Commodity Assistance,Pakistan,20253499.0
AGR,Commodity Assistance,Peru,2570264.0
AGR,Commodity Assistance,Philippines,32475365.0
AGR,Commodity Assistance,Poland,32174609.0
AGR,Commodity Assistance,Russia,38352112.0
AGR,Commodity Assistance,Rwanda,294650.0
AGR,Commodity Assistance,Senegal,4450933.0
AGR,Commodity Assistance,Sri Lanka,22298003.0
AGR,Commodity Assistance,Tajikistan,33805909.0
AGR,Commodity Assistance,Tanzania,22461177.0
AGR,Commodity Assistance,Timor-Leste,2170715.0
AGR,Commodity Assistance,Uganda,716679.0
AGR,Commodity Assistance,Ukraine,1652580.0
AGR,Commodity Assistance,Vietnam,4659308.0
AGR,Commodity Assistance,Yemen,56043997.0
AGR,Commodity Assistance,Zimbabwe,220712.0
AGR,Economic Growth,Afghanistan,114126.0
AGR,Economic Growth,Brazil,5701.0
AGR,Economic Growth,China (P.R.C.),190792.0
AGR,Economic Growth,Egypt,2530737.0
AGR,Economic Growth,Japan,24889.0
AGR,Economic Growth,Mexico,733462.0
AGR,Economic Growth,Pakistan,115346.0
AGR,Economic Growth,Russia,35365.0
AGR,Economic Growth,Thailand,175880.0
AGR,Education,Afghanistan,3409524.0
AGR,Education,Albania,60615.0
AGR,Education,Angola,10463660.0
AGR,Education,Bangladesh,4310093.0
AGR,Education,Bolivia,682602.0
AGR,Education,Cambodia,9420.0
AGR,Education,Cameroon,411336.0
AGR,Education,Chad,1854885.0
AGR,Education,Congo (Brazzaville),8252260.0
AGR,Education,Cote d'Ivoire,1475382.0
AGR,Education,Dominican Republic,3332216.0
AGR,Education,Ethiopia,118711.0
AGR,Education,Gambia,20743.0
AGR,Education,Guatemala,20677357.0
AGR,Education,Guinea,13375199.0
AGR,Education,Guinea-Bissau,5275716.0
AGR,Education,Haiti,2723698.0
AGR,Education,Honduras,5558027.0
AGR,Education,Kenya,24627370.0
AGR,Education,Kyrgyzstan,16230680.0
AGR,Education,Laos,6983818.0
AGR,Education,Lebanon,1230252.0
AGR,Education,Liberia,8078114.0
AGR,Education,Malawi,2176246.0
AGR,Education,Mali,1664926.0
AGR,Education,Moldova,2111914.0
AGR,Education,Mozambique,9026732.0
AGR,Education,Nepal,12214669.0
AGR,Education,Nicaragua,35110832.0
AGR,Education,Niger,2219969.0
AGR,Education,Pakistan,2303944.0
AGR,Education,Rwanda,1510435.0
AGR,Education,Senegal,2964216.0
AGR,Education,Sierra Leone,3070611.0
AGR,Education,Tanzania,4754385.0
AGR,Education,Uganda,8458713.0
AGR,Governance,Uzbekistan,1793476.0
AGR,Humanitarian,Afghanistan,4874504.0
AGR,Humanitarian,Cambodia,829995.0
AGR,Humanitarian,"Korea, Democratic Republic",1110203.0
AGR,Humanitarian,Zambia,4235678.0
AGR,Other,Afghanistan,45143504.0
AGR,Other,Angola,3275210.0
AGR,Other,Brazil,58062.0
AGR,Other,Cabo Verde,3576249.0
AGR,Other,Cameroon,4756.0
AGR,Other,Chile,6185.0
AGR,Other,China (P.R.C.),716773.0
AGR,Other,Colombia,52385214.0
AGR,Other,Congo (Kinshasa),67194791.0
AGR,Other,Dominican Republic,76288139.0
AGR,Other,Ecuador,28938222.0
AGR,Other,Egypt,673952911.0
AGR,Other,El Salvador,82952582.0
AGR,Other,Guatemala,25264279.0
AGR,Other,Guinea,21494648.0
AGR,Other,Guyana,33512052.0
AGR,Other,Honduras,30290896.0
AGR,Other,India,679431826.0
AGR,Other,Indonesia,74241435.0
AGR,Other,Israel,28768837.0
AGR,Other,Jamaica,6992831.0
AGR,Other,Jordan,43793920.0
AGR,Other,Kenya,7287341.0
AGR,Other,Korea Republic,504342418.0
AGR,Other,Liberia,4630706.0
AGR,Other,Madagascar,17068488.0
AGR,Other,Mexico,496510.0
AGR,Other,Morocco,208934366.0
AGR,Other,Nepal,37006068.0
AGR,Other,Niger,3912931.0
AGR,Other,Pakistan,863831652.0
AGR,Other,Peru,94467593.0
AGR,Other,Philippines,6274892.0
AGR,Other,Romania,1071048.0
AGR,Other,Russia,104000.0
AGR,Other,Rwanda,20696036.0
AGR,Other,Senegal,1294849.0
AGR,Other,Sierra Leone,1746040.0
AGR,Other,South Africa,128953.0
AGR,Other,Sri Lanka,74012137.0
AGR,Other,Thailand,215741.0
AGR,Other,Turkey,127060852.0
AGR,Other,Uruguay,29934070.0
AGR,Other,Vietnam,70127177.0
AGR,Other,Zambia,39723445.0
ARMY,Agriculture,Afghanistan,14365376.0
ARMY,Agriculture,Iraq,4348212.0
ARMY,Commodity Assistance,Afghanistan,30564.0
ARMY,Economic Growth,Iraq,815136283.0
ARMY,Governance,Afghanistan,17235351.0
ARMY,Governance,Albania,61455.0
ARMY,Governance,Bahrain,868505.0
ARMY,Governance,Brazil,524707.0
ARMY,Governance,Bulgaria,318684.0
ARMY,Governance,Cambodia,81390.0
ARMY,Governance,Colombia,166678.0
ARMY,Governance,Croatia,808560.0
ARMY,Governance,Egypt,58694781.0
ARMY,Governance,El Salvador,55397.0
ARMY,Governance,Estonia,467.0
ARMY,Governance,Georgia,1463888.0
ARMY,Governance,Ghana,192649.0
ARMY,Governance,Greece,4665448.0
ARMY,Governance,Honduras,420909.0
ARMY,Governance,Iraq,47929153.0
ARMY,Governance,Israel,20682511.0
ARMY,Governance,Jordan,11222655.0
ARMY,Governance,Latvia,1058394.0
ARMY,Governance,Lebanon,1538409.0
ARMY,Governance,Lithuania,396490.0
ARMY,Governance,Mongolia,479919.0
ARMY,Governance,Morocco,25793072.0
ARMY,Governance,Nigeria,895780.0
ARMY,Governance,Oman,832604.0
ARMY,Governance,Pakistan,322058.0
ARMY,Governance,Papua New Guinea,78724.0
ARMY,Governance,Philippines,1019867.0
ARMY,Governance,Rwanda,178034.0
ARMY,Governance,Senegal,1715729.0
ARMY,Governance,Tunisia,2049000.0
ARMY,Governance,Turkey,11565348.0
ARMY,Governance,Yemen,111595.0
ARMY,Health and Population,Afghanistan,72186853.0
ARMY,Health and Population,Iraq,376600777.0
ARMY,Humanitarian,Pakistan,143644.0
ARMY,Infrastructure,Afghanistan,208268073.0
ARMY,Infrastructure,Iraq,133944311.0
DHS,Economic Growth,Afghanistan,8052.0
DHS,Economic Growth,Albania,39147.0
DHS,Economic Growth,Azerbaijan,123838.0
DHS,Economic Growth,Barbados,22986.0
DHS,Economic Growth,Bolivia,39889.0
DHS,Economic Growth,Bosnia and Herzegovina,880243.0
DHS,Economic Growth,Botswana,98890.0
DHS,Economic Growth,El Salvador,14126.0
DHS,Economic Growth,Georgia,222876.0
DHS,Economic Growth,Haiti,19944.0
DHS,Economic Growth,Hungary,7881.0
DHS,Economic Growth,Indonesia,104237.0
