region_name,country,income,agency,channel,dac_category,fiscal_year,amt
East Asia and Oceania,Indonesia,LMIC,MCC,Government,Administrative Costs,2013,11042812.0
East Asia and Oceania,Philippines,LMIC,USAID,Universities and Research Institutes,Health and Population,2009,5492474.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Health and Population,2018,103840.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Governance,2015,566644.0
East Asia and Oceania,Micronesia (Federated States),LMIC,PC,Government,Education,2013,135449.0
East Asia and Oceania,Philippines,LMIC,USAID,Universities and Research Institutes,Education,2019,326535.0
East Asia and Oceania,Fiji,UMIC,DOD,Government,Governance,2015,496431.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2016,9764.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Administrative Costs,2011,138218.0
East Asia and Oceania,Indonesia,LMIC,USAID,Church and Faith Based,Commodity Assistance,2002,1018545.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Health and Population,2003,204225.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Administrative Costs,2010,174982.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Health and Population,2003,34200.0
East Asia and Oceania,Burma (Myanmar),LMIC,STATE,NGO,Governance,2010,1875873.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2019,6864.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Governance,2008,68722.0
East Asia and Oceania,Thailand,UMIC,USAID,Enterprises,Health and Population,2005,639.0
East Asia and Oceania,Thailand,UMIC,STATE,Government,Health and Population,2014,108249.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Enterprises,Economic Growth,2009,117883.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Government,Administrative Costs,2018,1362.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Administrative Costs,2012,206167.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,Enterprises,Governance,1997,324418.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Other,2003,1624.0
East Asia and Oceania,Indonesia,LMIC,TDA,Enterprises,Infrastructure,2013,83901.0
East Asia and Oceania,Thailand,UMIC,STATE,NGO,Humanitarian,1999,1410253.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Health and Population,2017,92988.0
East Asia and Oceania,Papua New Guinea,LMIC,ARMY,Government,Governance,2020,78724.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Government,Health and Population,2021,29477.0
East Asia and Oceania,China (P.R.C.),UMIC,STATE,Government,Governance,2013,841481.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Governance,2020,277151.0
East Asia and Oceania,Japan,HIC,USAID,Enterprises,Administrative Costs,2012,24446.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Governance,2002,3707721.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Health and Population,2010,8217.0
East Asia and Oceania,Thailand,UMIC,USAID,Government,Other,1956,74476821.0
East Asia and Oceania,Timor-Leste,LMIC,USAID,Government,Administrative Costs,2019,106649.0
East Asia and Oceania,Indonesia,LMIC,STATE,Government,Governance,2008,155019.0
East Asia and Oceania,Vietnam,LMIC,USAID,Government,Health and Population,2017,17525.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2016,142071.0
East Asia and Oceania,Indonesia,LMIC,USAID,Multilateral,Health and Population,2010,224242.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Humanitarian,2013,118502.0
East Asia and Oceania,Philippines,LMIC,USAID,Government,Education,2011,99263.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Administrative Costs,2015,170287.0
East Asia and Oceania,Marshall Islands,UMIC,DOI,Government,Other,1987,1777555.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Multilateral,Humanitarian,2007,573553.0
East Asia and Oceania,Vietnam,LMIC,USAID,Enterprises,Administrative Costs,2016,60705.0
East Asia and Oceania,Korea Republic,HIC,USAID,Government,Other,1967,271351206.0
East Asia and Oceania,Indonesia,LMIC,USAID,Government,Other,2009,4039.0
East Asia and Oceania,Cambodia,LMIC,USAID,Government,Administrative Costs,2008,1508940.0
East Asia and Oceania,Indonesia,LMIC,USAID,Enterprises,Administrative Costs,2018,795.0
East Asia and Oceania,Burma (Myanmar),LMIC,USAID,Enterprises,Agriculture,2018,1529.0
East Asia and Oceania,Philippines,LMIC,USAID,NGO,Governance,2007,1156245.0
East Asia and Oceania,Cambodia,LMIC,USAID,NGO,Governance,2004,3538142.0
East Asia and Oceania,Philippines,LMIC,USAID,Enterprises,Education,2016,5439206.0
